price_in_rp,district,city,address,lat,long,loc,land_size_m2,building_size_m2,bedrooms,bathrooms,maid_bedrooms,maid_bathrooms,floors,carports,electricity,garages,Ac,Taman,KolamRenang
1350000000.00,Jati Asih, Bekasi,"Jati Asih, Bekasi",-6.3102117,106.9532337,-6.3102117 106.9532337,175,133,4,3,0,0,1,1,2200,1,0,1,1
1350000000.00,Jati Asih, Bekasi,"Jati Asih, Bekasi",-6.3102117,106.9532337,-6.3102117 106.9532337,175,133,4,3,0,0,1,1,2200,1,0,1,1
770000000,Pejuang, Bekasi,"Pejuang, Bekasi",-6.1839269,106.9860384,-6.18392689999999 106.9860384,91,60,2,1,0,0,1,1,1300,0,0,1,1
750000000,Harapan Indah, Bekasi,"Harapan Indah, Bekasi",-6.1817524,106.9736839,-6.1817524 106.9736839,94,75,2,1,1,1,1,1,2200,0,0,1,0
480000000,Babelan, Bekasi,"Babelan, Bekasi",-6.1902358,107.0196193,-6.1902358 107.0196193,72,72,2,1,0,0,1,1,1300,0,0,1,0
2250000000,Jatiwarna, Bekasi,"Jatiwarna, Bekasi",-6.3033511,106.9270066,-6.3033511 106.9270066,175,250,3,2,0,0,2,1,3500,1,1,1,1
1400000000,Kemang Pratama, Bekasi,"Kemang Pratama, Bekasi",-6.2844286,106.9799284,-6.2844286 106.9799284,130,150,3,2,0,0,1,1,2200,1,0,1,1
1400000000,Kemang Pratama, Bekasi,"Kemang Pratama, Bekasi",-6.2844286,106.9799284,-6.2844286 106.9799284,130,150,3,2,0,0,1,1,2200,1,0,1,1
1100000000.00,Jati Cempaka, Bekasi,"Jati Cempaka, Bekasi",-6.2639386,106.9109713,-6.26393859999999 106.9109713,182,220,4,2,1,0,1,1,1300,0,0,1,0
980000000,Jatimelati, Bekasi,"Jatimelati, Bekasi",-6.3133828,106.9329091,-6.31338279999999 106.9329091,135,78,2,1,1,1,1,1,1300,0,0,1,0
1050000000,Jatisampurna, Bekasi,"Jatisampurna, Bekasi",-6.3756418,106.9164975,-6.37564179999999 106.9164975,90,70,2,1,0,0,1,1,2200,1,1,1,0
350000000,Jati Asih, Bekasi,"Jati Asih, Bekasi",-6.3102117,106.9532337,-6.3102117 106.9532337,66,57,2,1,0,0,1,1,1300,1,0,1,1
1350000000.00,Duta Harapan, Bekasi,"Duta Harapan, Bekasi",-6.2198481,107.0201588,-6.2198481 107.0201588,95,150,4,2,0,0,2,1,2200,1,1,1,0
350000000,Jati Asih, Bekasi,"Jati Asih, Bekasi",-6.3102117,106.9532337,-6.3102117 106.9532337,66,57,2,1,0,0,1,1,1300,1,0,1,1
2700000000,Galaxy, Bekasi,"Galaxy, Bekasi",-6.2572981,106.9683734,-6.2572981 106.9683734,126,165,6,4,0,0,2,1,3300,0,1,1,1
1150000000,Jatisampurna, Bekasi,"Jatisampurna, Bekasi",-6.3756418,106.9164975,-6.37564179999999 106.9164975,90,70,2,1,0,0,1,2,2200,0,1,1,0
723000000.00,Kaliabang, Bekasi,"Kaliabang, Bekasi",-6.1937446,106.9978466,-6.1937446 106.9978466,80,121,3,2,0,0,2,1,1300,1,0,1,0
1950000000,Kemang Pratama, Bekasi,"Kemang Pratama, Bekasi",-6.2844286,106.9799284,-6.2844286 106.9799284,220,200,4,2,1,1,2,2,4400,1,0,1,0
1900000000,Bintara, Bekasi,"Bintara, Bekasi",-6.2257275,106.9565206,-6.2257275 106.9565206,136,66,3,2,1,0,1,1,2200,0,0,1,0
1300000000,Harapan Indah, Bekasi,"Harapan Indah, Bekasi",-6.1817524,106.9736839,-6.1817524 106.9736839,126,90,2,1,1,1,1,1,2200,0,1,1,0
850000000,Harapan Indah, Bekasi,"Harapan Indah, Bekasi",-6.1817524,106.9736839,-6.1817524 106.9736839,90,60,2,1,1,1,1,1,2200,0,1,1,0
463000000,Bekasi Utara, Bekasi,"Bekasi Utara, Bekasi",-6.2117655,107.0038512,-6.21176549999999 107.0038512,60,29,2,1,0,0,1,1,900,0,0,1,0
399000000,Karang Satria, Bekasi,"Karang Satria, Bekasi",-6.223004,107.0391798,-6.223004 107.0391798,72,54,2,1,0,0,1,1,1300,0,0,1,0
425000000,Bekasi, Bekasi,"Bekasi, Bekasi",-6.2382699,106.9755726,-6.2382699 106.9755726,90,65,2,1,0,0,1,0,2200,0,0,1,0
3700000000,Jatiwarna, Bekasi,"Jatiwarna, Bekasi",-6.3033511,106.9270066,-6.3033511 106.9270066,216,300,3,4,1,1,3,3,5500,2,1,1,1
3700000000,Pondokmelati, Bekasi,"Pondokmelati, Bekasi",-6.2964409,106.9215663,-6.29644089999999 106.9215663,216,300,3,4,1,1,3,3,5500,2,1,1,1
1100000000.00,Bekasi Timur, Bekasi,"Bekasi Timur, Bekasi",-6.2491162,107.013564,-6.2491162 107.013564,65,90,3,2,0,0,2,1,2200,0,0,1,0
160000000,Serang Baru, Bekasi,"Serang Baru, Bekasi",-6.3831897,107.1059937,-6.3831897 107.1059937,60,50,3,1,0,0,1,1,1300,0,0,1,1
2700000000,Summarecon Bekasi, Bekasi,"Summarecon Bekasi, Bekasi",-6.2219677,106.9889673,-6.2219677 106.9889673,136,200,3,3,1,1,2,2,3500,1,0,1,1
1800000000,Summarecon Bekasi, Bekasi,"Summarecon Bekasi, Bekasi",-6.2219677,106.9889673,-6.2219677 106.9889673,119,82,2,1,0,0,2,1,2200,1,1,1,1
